clean-city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Oyam,2.2350,32.3850,Uganda,UG,Oyam,admin,14500,14500
Busembatia,0.7750,33.6250,Uganda,UG,Bugweri,,14431,14431
Bukedea,1.3475,34.0444,Uganda,UG,Bukedea,admin,13900,13900
Kaabong,3.5200,34.1200,Uganda,UG,Kaabong,admin,13400,13400
Kumi,1.4608,33.9361,Uganda,UG,Kumi,admin,13000,13000
Kibiito,0.4775,30.1925,Uganda,UG,Bunyangabu,admin,12984,12984
Kapchorwa,1.4000,34.4500,Uganda,UG,Kapchorwa,admin,12900,12900
Amolatar,1.6350,32.8250,Uganda,UG,Amolatar,admin,12900,12900
Serere,1.5000,33.5500,Uganda,UG,Serere,admin,12700,12700
Kanoni,0.1728,31.9058,Uganda,UG,Gomba,admin,12439,12439
Nakasongola,1.3150,32.4650,Uganda,UG,Nakasongola,admin,11700,11700
Majanji,0.2408,33.9914,Uganda,UG,Busia,,11274,11274
Amuru,2.8186,31.8642,Uganda,UG,Amuru,admin,10800,10800
Lwakhakha,0.7967,34.3781,Uganda,UG,Manafwa,,10700,10700
Bukomansimbi,-0.1667,31.6186,Uganda,UG,Bukomansimbi,admin,10000,10000
Bulisa,2.1217,31.4156,Uganda,UG,Buliisa,admin,9500,9500
Katakwi,1.9150,33.9550,Uganda,UG,Katakwi,admin,9100,9100
Amuria,2.0300,33.6431,Uganda,UG,Amuria,admin,8900,8900
Bududa,1.0100,34.3317,Uganda,UG,Bududa,admin,8700,8700
Rakai,-0.7100,31.4050,Uganda,UG,Rakai,admin,8500,8500
Rubirizi,-0.2661,30.1069,Uganda,UG,Rubirizi,admin,8204,8204
Alebtong,2.2500,33.3150,Uganda,UG,Alebtong,admin,7900,7900
Sembabule,-0.0800,31.4600,Uganda,UG,Sembabule,admin,7800,7800
Kajansi,0.2150,32.5500,Uganda,UG,Wakiso,,7530,7530
Kiruhura,-0.2100,30.8300,Uganda,UG,Kiruhura,admin,6900,6900
Mitoma,-0.6150,30.0450,Uganda,UG,Mitooma,admin,6000,6000
Kigorobya,1.6181,31.3089,Uganda,UG,Hoima,,5420,5420
Napak,2.1156,34.2267,Uganda,UG,Napak,admin,5278,5278
Kalangala,-0.3214,32.2919,Uganda,UG,Kalangala,admin,5200,5200
Nwoya,2.6350,32.0000,Uganda,UG,Nwoya,admin,4295,4295
Butalangu,0.8228,32.2428,Uganda,UG,Nakaseke,admin,3873,3873
Nsangi,0.2842,32.4550,Uganda,UG,Wakiso,,3522,3522
Kaberamaido,1.7667,33.1522,Uganda,UG,Kaberamaido,admin,3400,3400
Maya,0.2664,32.4358,Uganda,UG,Wakiso,,3100,3100
Amudat,1.9522,34.9444,Uganda,UG,Amudat,admin,1900,1900
Namutumba,0.8363,33.6858,Uganda,UG,Namutumba,admin,,
Bukwo,1.2928,34.7531,Uganda,UG,Bukwo,admin,,
Maracha,3.2883,30.9408,Uganda,UG,Maracha,admin,,
Binyin,1.4175,34.5344,Uganda,UG,Kween,admin,,
Bulambuli,1.1600,34.3967,Uganda,UG,Bulambuli,admin,,
Namayingo,0.2398,33.8849,Uganda,UG,Namayingo,admin,,
Butebo,1.1944,33.9222,Uganda,UG,Butebo,admin,,
Busesa,0.6263,33.6003,Uganda,UG,Bugweri,admin,,
Luuka Town,0.7642,33.3319,Uganda,UG,Luuka,admin,,
Nsiika,-0.2958,30.3433,Uganda,UG,Buhweju,admin,,
Rubanda,-1.1864,29.8433,Uganda,UG,Rubanda,admin,,
Ntara,0.0047,30.3661,Uganda,UG,Kitagwenda,admin,,
Kalungu,-0.1681,31.7600,Uganda,UG,Kalungu,admin,,
Bupoto,0.9061,34.3578,Uganda,UG,Namisindwa,admin,,
Kole,2.4286,32.8011,Uganda,UG,Kole,admin,,
Mparo,-1.1844,30.0544,Uganda,UG,Rukiga,admin,,
Kasanda,0.5467,31.8197,Uganda,UG,Kasanda,admin,,
Kasaali,-0.6167,31.5500,Uganda,UG,Kyotera,admin,,
Kakumiro,0.7811,31.3231,Uganda,UG,Kakumiro,admin,,
Kinoni,-0.6583,30.4581,Uganda,UG,Rwampara,admin,,
Kibingo,-0.5700,30.4150,Uganda,UG,Sheema,admin,,
Kalaki,1.8160,33.3370,Uganda,UG,Kalaki,admin,,
Palenga,2.5764,32.3544,Uganda,UG,Omoro,admin,,
Lamwo,3.5300,32.8000,Uganda,UG,Lamwo,admin,,
Agago,2.9847,33.3306,Uganda,UG,Agago,admin,,
Nabilatuk,2.0525,34.5734,Uganda,UG,Nabilatuk,admin,,
Pader,3.0500,33.2167,Uganda,UG,Pader,admin,,
Otuke,2.4442,33.5028,Uganda,UG,Otuke,admin,,
Nakapiripirit,1.9167,34.7833,Uganda,UG,Nakapiripirit,admin,,
Kyankwanzi,1.2000,31.8000,Uganda,UG,Kyankwanzi,admin,,
Ntoroko,1.0500,30.5350,Uganda,UG,Ntoroko,admin,,
Kitamilo,0.2367,33.2700,Uganda,UG,Buvuma,admin,,
